"filename", "language", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_nucleo-outline.scss", "SCSS", 0, 0, 0, 10, 6, 1, 17
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_responsive.scss", "SCSS", 0, 0, 0, 35, 0, 1, 36
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/custom/_typography.scss", "SCSS", 0, 0, 0, 5, 0, 1, 6
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/react/react-differences.scss", "SCSS", 0, 0, 0, 10, 0, 1, 11
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/components/FixedPlugin/FixedPlugin.jsx", "JavaScript", 0, 152, 0, 0, 0, 4, 156
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/components/Footer/Footer.jsx", "JavaScript", 0, 13, 0, 0, 43, 5, 61
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/components/Modals/disease.jsx", "JavaScript", 0, 142, 0, 0, 36, 19, 197
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/components/Modals/diseaseDetails.jsx", "JavaScript", 0, 105, 0, 0, 29, 7, 141
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/components/Modals/newAnimal.jsx", "JavaScript", 0, 690, 0, 0, 86, 47, 823
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/components/Modals/newStatusDisease.jsx", "JavaScript", 0, 146, 0, 0, 37, 11, 194
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/components/Modals/pregnancy.jsx", "JavaScript", 0, 204, 0, 0, 16, 19, 239
